YEAR;MO;DY;HOUR;T
2022;1;10;4;0.511666667
2022;1;10;5;0.326666667
2022;1;10;6;0.186666667
2022;1;10;7;-0.101666667
2022;1;10;8;-1.036666667
2022;1;10;9;-1.208333333
2022;1;10;10;-1.01
2022;1;10;11;-0.911666667
2022;1;10;12;-0.65
2022;1;10;13;-0.121666667
2022;1;10;14;0.451666667
2022;1;10;15;0.96
2022;1;10;16;0.888333333
2022;1;10;17;0.255
2022;1;10;18;-0.205
2022;1;10;19;-0.445
2022;1;10;20;-0.668333333
2022;1;10;21;-0.89
2022;1;10;22;-1.265
2022;1;10;23;-1.523333333
2022;1;11;0;-1.87
2022;1;11;1;-1.818333333
2022;1;11;2;-2.061666667
2022;1;11;3;-2.08
2022;1;11;4;-2.165
2022;1;11;5;-2.098333333
2022;1;11;6;-1.973333333
2022;1;11;7;-2.003333333
2022;1;11;8;-1.611666667
2022;1;11;9;-1.291666667
2022;1;11;10;-0.175
2022;1;11;11;0.478333333
2022;1;11;12;1.153333333
2022;1;11;13;2.751666667
2022;1;11;14;3.705
2022;1;11;15;4.408333333
2022;1;11;16;3.825
2022;1;11;17;3.406666667
2022;1;11;18;2.941666667
2022;1;11;19;2.481666667
2022;1;11;20;1.798333333
2022;1;11;21;1.166666667
2022;1;11;22;1.051666667
2022;1;11;23;0.43
2022;1;12;0;0.25
2022;1;12;1;0.34
2022;1;12;2;0.096666667
2022;1;12;3;0.181666667
2022;1;12;4;0.296666667
2022;1;12;5;0.016666667
2022;1;12;6;0.591666667
2022;1;12;7;0.626666667
2022;1;12;8;0.048333333
2022;1;12;9;0.853333333
2022;1;12;10;1.561666667
2022;1;12;11;1.781666667
2022;1;12;12;1.71
2022;1;12;13;1.915
2022;1;12;14;1.885
2022;1;12;15;1.896666667
2022;1;12;16;2.025
2022;1;12;17;2.191666667
2022;1;12;18;1.846666667
2022;1;12;19;2.04
2022;1;12;20;2.063333333
2022;1;12;21;1.818333333
2022;1;12;22;1.438333333
2022;1;12;23;1.22
2022;1;13;0;0.908333333
2022;1;13;1;0.638333333
2022;1;13;2;0.266666667
2022;1;13;3;-0.131666667
2022;1;13;4;-0.465
2022;1;13;5;-0.518333333
