YEAR;MO;DY;HOUR;P;T
2022.0;1.0;1.0;0.0;43.016666666666666;12.0
2022.0;1.0;1.0;1.0;42.74576271186441;12.0
2022.0;1.0;1.0;2.0;43.91525423728814;11.0
2022.0;1.0;1.0;3.0;46.152542372881356;11.0
2022.0;1.0;1.0;4.0;51.932203389830505;11.0
2022.0;1.0;1.0;5.0;58.220338983050844;10.0
2022.0;1.0;1.0;6.0;59.32203389830509;10.0
2022.0;1.0;1.0;7.0;58.3728813559322;10.0
2022.0;1.0;1.0;8.0;59.48275862068966;10.0
2022.0;1.0;1.0;9.0;59.23728813559322;10.0
2022.0;1.0;1.0;10.0;61.23728813559322;11.0
2022.0;1.0;1.0;11.0;60.20338983050848;12.0
2022.0;1.0;1.0;12.0;58.03389830508475;12.0
2022.0;1.0;1.0;13.0;51.644067796610166;12.0
2022.0;1.0;1.0;14.0;47.355932203389834;12.0
2022.0;1.0;1.0;15.0;47.96610169491525;12.0
2022.0;1.0;1.0;16.0;49.23728813559322;11.0
2022.0;1.0;1.0;17.0;48.11864406779661;11.0
2022.0;1.0;1.0;18.0;46.03448275862069;11.0
2022.0;1.0;1.0;19.0;48.83050847457627;11.0
2022.0;1.0;1.0;20.0;48.847457627118644;11.0
2022.0;1.0;1.0;21.0;52.28813559322034;10.0
2022.0;1.0;1.0;22.0;50.40677966101695;10.0
2022.0;1.0;1.0;23.0;49.152542372881356;10.0
2022.0;1.0;2.0;0.0;50.271186440677965;10.0
2022.0;1.0;2.0;1.0;53.94915254237288;11.0
2022.0;1.0;2.0;2.0;53.67796610169491;10.0
2022.0;1.0;2.0;3.0;57.644067796610166;10.0
2022.0;1.0;2.0;4.0;62.3728813559322;10.0
2022.0;1.0;2.0;5.0;63.56896551724138;10.0
2022.0;1.0;2.0;6.0;63.186440677966104;10.0
2022.0;1.0;2.0;7.0;61.271186440677965;11.0
2022.0;1.0;2.0;8.0;60.45762711864407;11.0
2022.0;1.0;2.0;9.0;63.0;11.0
2022.0;1.0;2.0;10.0;61.32203389830509;11.0
2022.0;1.0;2.0;11.0;61.69491525423729;11.0
2022.0;1.0;2.0;12.0;58.57627118644068;12.0
2022.0;1.0;2.0;13.0;53.91525423728814;12.0
2022.0;1.0;2.0;14.0;50.74576271186441;12.0
2022.0;1.0;2.0;15.0;48.96551724137931;12.0
2022.0;1.0;2.0;16.0;49.59322033898305;11.0
2022.0;1.0;2.0;17.0;46.88135593220339;11.0
2022.0;1.0;2.0;18.0;46.05084745762712;11.0
2022.0;1.0;2.0;19.0;49.86440677966102;11.0
2022.0;1.0;2.0;20.0;51.50847457627118;10.0
2022.0;1.0;2.0;21.0;50.101694915254235;10.0
