YEAR;MO;DY;HOUR;P;T
2022.0;1.0;1.0;0.0;1.1666666666666667;12.0
2022.0;1.0;1.0;1.0;0.7627118644067796;12.0
2022.0;1.0;1.0;2.0;1.1694915254237288;11.0
2022.0;1.0;1.0;3.0;1.0847457627118644;11.0
2022.0;1.0;1.0;4.0;0.7796610169491526;11.0
2022.0;1.0;1.0;5.0;1.7966101694915255;10.0
2022.0;1.0;1.0;6.0;0.7796610169491526;10.0
2022.0;1.0;1.0;7.0;0.559322033898305;10.0
2022.0;1.0;1.0;8.0;0.9322033898305084;10.0
2022.0;1.0;1.0;9.0;0.7796610169491526;10.0
2022.0;1.0;1.0;10.0;0.4745762711864407;11.0
2022.0;1.0;1.0;11.0;0.9830508474576272;12.0
2022.0;1.0;1.0;12.0;0.864406779661017;12.0
2022.0;1.0;1.0;13.0;1.1355932203389831;12.0
2022.0;1.0;1.0;14.0;0.9491525423728814;12.0
2022.0;1.0;1.0;15.0;0.7796610169491526;12.0
2022.0;1.0;1.0;16.0;1.423728813559322;11.0
2022.0;1.0;1.0;17.0;0.576271186440678;11.0
2022.0;1.0;1.0;18.0;0.7796610169491526;11.0
2022.0;1.0;1.0;19.0;0.6271186440677966;11.0
2022.0;1.0;1.0;20.0;0.3389830508474576;11.0
2022.0;1.0;1.0;21.0;1.2372881355932204;10.0
2022.0;1.0;1.0;22.0;0.559322033898305;10.0
2022.0;1.0;1.0;23.0;0.9322033898305084;10.0
2022.0;1.0;2.0;0.0;0.7457627118644068;10.0
2022.0;1.0;2.0;1.0;0.8305084745762712;11.0
2022.0;1.0;2.0;2.0;0.4067796610169492;10.0
2022.0;1.0;2.0;3.0;1.1864406779661016;10.0
2022.0;1.0;2.0;4.0;0.6779661016949152;10.0
2022.0;1.0;2.0;5.0;0.576271186440678;10.0
2022.0;1.0;2.0;6.0;0.576271186440678;10.0
2022.0;1.0;2.0;7.0;0.9830508474576272;11.0
2022.0;1.0;2.0;8.0;1.8135593220338984;11.0
2022.0;1.0;2.0;9.0;0.13559322033898305;11.0
2022.0;1.0;2.0;10.0;1.2542372881355932;11.0
2022.0;1.0;2.0;11.0;0.5423728813559322;11.0
2022.0;1.0;2.0;12.0;0.5084745762711864;12.0
2022.0;1.0;2.0;13.0;0.7457627118644068;12.0
2022.0;1.0;2.0;14.0;0.6949152542372882;12.0
2022.0;1.0;2.0;15.0;0.4745762711864407;12.0
2022.0;1.0;2.0;16.0;0.6949152542372882;11.0
2022.0;1.0;2.0;17.0;0.7457627118644068;11.0
2022.0;1.0;2.0;18.0;0.6271186440677966;11.0
2022.0;1.0;2.0;19.0;0.6101694915254238;11.0
2022.0;1.0;2.0;20.0;0.3389830508474576;10.0
2022.0;1.0;2.0;21.0;0.6779661016949152;10.0
2022.0;1.0;2.0;22.0;1.0;10.0
2022.0;1.0;2.0;23.0;0.711864406779661;10.0
2022.0;1.0;3.0;0.0;0.5423728813559322;9.0
2022.0;1.0;3.0;1.0;0.6101694915254238;9.0
2022.0;1.0;3.0;2.0;1.0677966101694916;8.0
2022.0;1.0;3.0;3.0;0.5423728813559322;8.0
2022.0;1.0;3.0;4.0;0.7457627118644068;9.0
2022.0;1.0;3.0;5.0;0.3389830508474576;9.0
2022.0;1.0;3.0;6.0;71.35593220338983;9.0
2022.0;1.0;3.0;7.0;211.84745762711864;9.0
2022.0;1.0;3.0;8.0;30.322033898305083;9.0
2022.0;1.0;3.0;9.0;42.42372881355932;9.0
2022.0;1.0;3.0;10.0;61.11864406779661;9.0
