YEAR;MO;DY;HOUR;P;T
2022.0;1.0;1.0;0.0;0.0;12.0
2022.0;1.0;1.0;1.0;0.0;12.0
2022.0;1.0;1.0;2.0;0.0;11.0
2022.0;1.0;1.0;3.0;0.0;11.0
2022.0;1.0;1.0;4.0;0.0;11.0
2022.0;1.0;1.0;5.0;0.0;10.0
2022.0;1.0;1.0;6.0;0.0;10.0
2022.0;1.0;1.0;7.0;0.0;10.0
2022.0;1.0;1.0;8.0;0.0;10.0
2022.0;1.0;1.0;9.0;0.0;10.0
2022.0;1.0;1.0;10.0;0.0;11.0
2022.0;1.0;1.0;11.0;0.0;12.0
2022.0;1.0;1.0;12.0;0.0;12.0
2022.0;1.0;1.0;13.0;0.0;12.0
2022.0;1.0;1.0;14.0;0.0;12.0
2022.0;1.0;1.0;15.0;0.0;12.0
2022.0;1.0;1.0;16.0;0.0;11.0
2022.0;1.0;1.0;17.0;0.0;11.0
2022.0;1.0;1.0;18.0;0.0;11.0
2022.0;1.0;1.0;19.0;0.0;11.0
2022.0;1.0;1.0;20.0;0.0;11.0
2022.0;1.0;1.0;21.0;0.0;10.0
2022.0;1.0;1.0;22.0;0.0;10.0
2022.0;1.0;1.0;23.0;0.0;10.0
2022.0;1.0;2.0;0.0;12.983050847457626;10.0
2022.0;1.0;2.0;1.0;0.7288135593220338;11.0
2022.0;1.0;2.0;2.0;0.13793103448275862;10.0
2022.0;1.0;2.0;3.0;0.2033898305084746;10.0
2022.0;1.0;2.0;4.0;0.2711864406779661;10.0
2022.0;1.0;2.0;5.0;0.4067796610169492;10.0
2022.0;1.0;2.0;6.0;0.23728813559322035;10.0
2022.0;1.0;2.0;7.0;0.1694915254237288;11.0
2022.0;1.0;2.0;8.0;0.11864406779661017;11.0
2022.0;1.0;2.0;9.0;0.0;11.0
2022.0;1.0;2.0;10.0;0.13793103448275862;11.0
2022.0;1.0;2.0;11.0;0.0;11.0
2022.0;1.0;2.0;12.0;0.0;12.0
2022.0;1.0;2.0;13.0;0.0;12.0
2022.0;1.0;2.0;14.0;0.0;12.0
2022.0;1.0;2.0;15.0;2.5084745762711864;12.0
2022.0;1.0;2.0;16.0;0.4406779661016949;11.0
2022.0;1.0;2.0;17.0;2.152542372881356;11.0
2022.0;1.0;2.0;18.0;0.0;11.0
2022.0;1.0;2.0;19.0;0.1016949152542373;11.0
2022.0;1.0;2.0;20.0;2.0;10.0
2022.0;1.0;2.0;21.0;0.0;10.0
2022.0;1.0;2.0;22.0;0.0;10.0
2022.0;1.0;2.0;23.0;2.457627118644068;10.0
2022.0;1.0;3.0;0.0;0.0;9.0
2022.0;1.0;3.0;1.0;0.0;9.0
2022.0;1.0;3.0;2.0;2.189655172413793;8.0
2022.0;1.0;3.0;3.0;0.0;8.0
2022.0;1.0;3.0;4.0;1.5254237288135593;9.0
2022.0;1.0;3.0;5.0;4.52542372881356;9.0
2022.0;1.0;3.0;6.0;22.610169491525422;9.0
2022.0;1.0;3.0;7.0;62.32203389830509;9.0
2022.0;1.0;3.0;8.0;64.88135593220339;9.0
2022.0;1.0;3.0;9.0;22.896551724137932;9.0
2022.0;1.0;3.0;10.0;25.10169491525424;9.0
2022.0;1.0;3.0;11.0;24.89830508474576;9.0
2022.0;1.0;3.0;12.0;24.423728813559322;9.0
2022.0;1.0;3.0;13.0;24.11864406779661;9.0
2022.0;1.0;3.0;14.0;25.491525423728813;8.0
2022.0;1.0;3.0;15.0;25.423728813559322;9.0
2022.0;1.0;3.0;16.0;25.47457627118644;9.0
2022.0;1.0;3.0;17.0;5.310344827586207;9.0
2022.0;1.0;3.0;18.0;0.0;8.0
2022.0;1.0;3.0;19.0;0.0;8.0
2022.0;1.0;3.0;20.0;0.05084745762711865;8.0
2022.0;1.0;3.0;21.0;0.0;8.0
2022.0;1.0;3.0;22.0;0.6271186440677966;7.0
2022.0;1.0;3.0;23.0;0.22033898305084745;7.0
2022.0;1.0;4.0;0.0;0.1694915254237288;7.0
2022.0;1.0;4.0;1.0;0.2413793103448276;7.0
2022.0;1.0;4.0;2.0;0.13559322033898305;7.0
2022.0;1.0;4.0;3.0;0.1694915254237288;7.0
2022.0;1.0;4.0;4.0;0.2033898305084746;6.0
2022.0;1.0;4.0;5.0;0.2711864406779661;6.0
2022.0;1.0;4.0;6.0;16.406779661016948;6.0
2022.0;1.0;4.0;7.0;28.11864406779661;6.0
2022.0;1.0;4.0;8.0;19.627118644067796;6.0
2022.0;1.0;4.0;9.0;38.87931034482759;6.0
2022.0;1.0;4.0;10.0;52.152542372881356;6.0
2022.0;1.0;4.0;11.0;46.69491525423729;6.0
2022.0;1.0;4.0;12.0;51.59322033898305;6.0
2022.0;1.0;4.0;13.0;47.30508474576271;6.0
2022.0;1.0;4.0;14.0;52.25423728813559;6.0
2022.0;1.0;4.0;15.0;44.152542372881356;6.0
2022.0;1.0;4.0;16.0;50.59322033898305;6.0
2022.0;1.0;4.0;17.0;25.96551724137931;6.0
2022.0;1.0;4.0;18.0;11.59322033898305;6.0
2022.0;1.0;4.0;19.0;11.677966101694915;6.0
2022.0;1.0;4.0;20.0;0.6610169491525424;5.0
2022.0;1.0;4.0;21.0;0.4745762711864407;4.0
2022.0;1.0;4.0;22.0;0.4067796610169492;2.0
2022.0;1.0;4.0;23.0;0.0;2.0
2022.0;1.0;5.0;0.0;0.9827586206896551;2.0
2022.0;1.0;5.0;1.0;0.4576271186440678;2.0
2022.0;1.0;5.0;2.0;0.5084745762711864;1.0
2022.0;1.0;5.0;3.0;0.6101694915254238;1.0
2022.0;1.0;5.0;4.0;4.898305084745763;0.0
2022.0;1.0;5.0;5.0;19.83050847457627;0.0
2022.0;1.0;5.0;6.0;52.67796610169491;0.0
2022.0;1.0;5.0;7.0;60.847457627118644;0.0
2022.0;1.0;5.0;8.0;58.63793103448276;1.0
2022.0;1.0;5.0;9.0;50.30508474576271;1.0
2022.0;1.0;5.0;10.0;51.152542372881356;2.0
2022.0;1.0;5.0;11.0;53.440677966101696;2.0
2022.0;1.0;5.0;12.0;48.69491525423729;3.0
2022.0;1.0;5.0;13.0;59.28813559322034;3.0
2022.0;1.0;5.0;14.0;55.50847457627118;4.0
2022.0;1.0;5.0;15.0;49.016949152542374;4.0
2022.0;1.0;5.0;16.0;46.46551724137931;3.55
2022.0;1.0;5.0;17.0;22.559322033898304;3.396666667
2022.0;1.0;5.0;18.0;15.711864406779661;3.463333333
2022.0;1.0;5.0;19.0;14.88135593220339;3.371666667
2022.0;1.0;5.0;20.0;1.423728813559322;3.468333333
2022.0;1.0;5.0;21.0;0.6101694915254238;3.246666667
2022.0;1.0;5.0;22.0;0.3898305084745763;3.143333333
2022.0;1.0;5.0;23.0;0.5;3.101666667
2022.0;1.0;6.0;0.0;1.1206896551724137;3.045
2022.0;1.0;6.0;1.0;0.2033898305084746;1.858333333
2022.0;1.0;6.0;2.0;0.2711864406779661;1.823333333
2022.0;1.0;6.0;3.0;0.3389830508474576;2.066666667
2022.0;1.0;6.0;4.0;1.9830508474576272;1.983333333
2022.0;1.0;6.0;5.0;18.47457627118644;2.066666667
2022.0;1.0;6.0;6.0;45.101694915254235;1.491666667
2022.0;1.0;6.0;7.0;57.55172413793103;1.375
2022.0;1.0;6.0;8.0;59.067796610169495;1.088333333
2022.0;1.0;6.0;9.0;59.50847457627118;1.26
