YEAR;MO;DY;HOUR;P;T
2022.0;1.0;1.0;0.0;73.01666666666667;12.0
2022.0;1.0;1.0;1.0;46.3728813559322;12.0
2022.0;1.0;1.0;2.0;48.49152542372882;11.0
2022.0;1.0;1.0;3.0;56.49152542372882;11.0
2022.0;1.0;1.0;4.0;56.98275862068966;11.0
2022.0;1.0;1.0;5.0;49.610169491525426;10.0
2022.0;1.0;1.0;6.0;46.96610169491525;10.0
2022.0;1.0;1.0;7.0;88.61016949152543;10.0
2022.0;1.0;1.0;8.0;44.067796610169495;10.0
2022.0;1.0;1.0;9.0;43.69491525423729;10.0
2022.0;1.0;1.0;10.0;58.3728813559322;11.0
2022.0;1.0;1.0;11.0;53.610169491525426;12.0
2022.0;1.0;1.0;12.0;53.898305084745765;12.0
2022.0;1.0;1.0;13.0;39.59322033898305;12.0
2022.0;1.0;1.0;14.0;50.37931034482759;12.0
2022.0;1.0;1.0;15.0;48.86440677966102;12.0
2022.0;1.0;1.0;16.0;51.16949152542373;11.0
2022.0;1.0;1.0;17.0;48.42372881355932;11.0
2022.0;1.0;1.0;18.0;51.57627118644068;11.0
2022.0;1.0;1.0;19.0;52.13559322033898;11.0
2022.0;1.0;1.0;20.0;58.88135593220339;11.0
2022.0;1.0;1.0;21.0;54.559322033898304;10.0
2022.0;1.0;1.0;22.0;54.016949152542374;10.0
2022.0;1.0;1.0;23.0;53.53448275862069;10.0
2022.0;1.0;2.0;0.0;84.65517241379311;10.0
2022.0;1.0;2.0;1.0;53.440677966101696;11.0
2022.0;1.0;2.0;2.0;57.45762711864407;10.0
2022.0;1.0;2.0;3.0;62.355932203389834;10.0
2022.0;1.0;2.0;4.0;55.101694915254235;10.0
2022.0;1.0;2.0;5.0;60.96610169491525;10.0
2022.0;1.0;2.0;6.0;59.610169491525426;10.0
2022.0;1.0;2.0;7.0;76.05084745762711;11.0
2022.0;1.0;2.0;8.0;45.271186440677965;11.0
2022.0;1.0;2.0;9.0;48.779661016949156;11.0
2022.0;1.0;2.0;10.0;53.327586206896555;11.0
2022.0;1.0;2.0;11.0;60.57627118644068;11.0
2022.0;1.0;2.0;12.0;56.220338983050844;12.0
2022.0;1.0;2.0;13.0;55.13559322033898;12.0
2022.0;1.0;2.0;14.0;55.3728813559322;12.0
2022.0;1.0;2.0;15.0;56.13559322033898;12.0
2022.0;1.0;2.0;16.0;54.355932203389834;11.0
2022.0;1.0;2.0;17.0;54.644067796610166;11.0
2022.0;1.0;2.0;18.0;55.186440677966104;11.0
2022.0;1.0;2.0;19.0;55.45762711864407;11.0
2022.0;1.0;2.0;20.0;57.172413793103445;10.0
2022.0;1.0;2.0;21.0;56.50847457627118;10.0
2022.0;1.0;2.0;22.0;54.898305084745765;10.0
2022.0;1.0;2.0;23.0;61.52542372881356;10.0
2022.0;1.0;3.0;0.0;116.83050847457628;9.0
2022.0;1.0;3.0;1.0;110.54237288135593;9.0
2022.0;1.0;3.0;2.0;98.77966101694915;8.0
2022.0;1.0;3.0;3.0;101.28813559322033;8.0
2022.0;1.0;3.0;4.0;69.54237288135593;9.0
2022.0;1.0;3.0;5.0;86.66101694915254;9.0
2022.0;1.0;3.0;6.0;102.72881355932203;9.0
2022.0;1.0;3.0;7.0;158.32758620689654;9.0
2022.0;1.0;3.0;8.0;104.33898305084746;9.0
2022.0;1.0;3.0;9.0;127.52542372881356;9.0
2022.0;1.0;3.0;10.0;122.44067796610169;9.0
2022.0;1.0;3.0;11.0;125.05084745762711;9.0
2022.0;1.0;3.0;12.0;124.2542372881356;9.0
2022.0;1.0;3.0;13.0;123.54237288135593;9.0
2022.0;1.0;3.0;14.0;132.6271186440678;8.0
2022.0;1.0;3.0;15.0;128.47457627118644;9.0
2022.0;1.0;3.0;16.0;122.72881355932203;9.0
2022.0;1.0;3.0;17.0;86.87931034482759;9.0
2022.0;1.0;3.0;18.0;65.01694915254237;8.0
2022.0;1.0;3.0;19.0;59.88135593220339;8.0
2022.0;1.0;3.0;20.0;58.42372881355932;8.0
2022.0;1.0;3.0;21.0;55.74576271186441;8.0
2022.0;1.0;3.0;22.0;58.13559322033898;7.0
