YEAR;MO;DY;HOUR;P;T
2022.0;1.0;5.0;0.0;234.1864406779661;2.0
2022.0;1.0;5.0;1.0;228.38983050847457;2.0
2022.0;1.0;5.0;2.0;216.4915254237288;1.0
2022.0;1.0;5.0;3.0;239.15254237288136;1.0
2022.0;1.0;5.0;4.0;228.27118644067798;0.0
2022.0;1.0;5.0;5.0;235.72881355932202;0.0
2022.0;1.0;5.0;6.0;234.45762711864407;0.0
2022.0;1.0;5.0;7.0;255.75862068965517;0.0
2022.0;1.0;5.0;8.0;309.03389830508473;1.0
2022.0;1.0;5.0;9.0;342.52542372881356;1.0
2022.0;1.0;5.0;10.0;324.271186440678;2.0
2022.0;1.0;5.0;11.0;328.77966101694915;2.0
2022.0;1.0;5.0;12.0;309.1864406779661;3.0
2022.0;1.0;5.0;13.0;297.06779661016947;3.0
2022.0;1.0;5.0;14.0;307.8305084745763;4.0
2022.0;1.0;5.0;15.0;300.8135593220339;4.0
2022.0;1.0;5.0;16.0;307.35593220338984;3.55
2022.0;1.0;5.0;17.0;254.89830508474577;3.396666667
2022.0;1.0;5.0;18.0;220.3728813559322;3.463333333
2022.0;1.0;5.0;19.0;209.16949152542372;3.371666667
2022.0;1.0;5.0;20.0;238.59322033898306;3.468333333
2022.0;1.0;5.0;21.0;208.1864406779661;3.246666667
2022.0;1.0;5.0;22.0;228.77966101694915;3.143333333
2022.0;1.0;5.0;23.0;215.88135593220338;3.101666667
2022.0;1.0;6.0;0.0;272.20338983050846;3.045
2022.0;1.0;6.0;1.0;222.94915254237287;1.858333333
2022.0;1.0;6.0;2.0;233.15254237288136;1.823333333
2022.0;1.0;6.0;3.0;228.28813559322035;2.066666667
2022.0;1.0;6.0;4.0;238.23728813559322;1.983333333
2022.0;1.0;6.0;5.0;236.3728813559322;2.066666667
2022.0;1.0;6.0;6.0;241.4915254237288;1.491666667
2022.0;1.0;6.0;7.0;258.8813559322034;1.375
2022.0;1.0;6.0;8.0;321.93220338983053;1.088333333
2022.0;1.0;6.0;9.0;335.5762711864407;1.26
2022.0;1.0;6.0;10.0;312.7457627118644;1.25
2022.0;1.0;6.0;11.0;323.7118644067797;2.116666667
2022.0;1.0;6.0;12.0;302.91525423728814;2.34
2022.0;1.0;6.0;13.0;310.864406779661;3.55
2022.0;1.0;6.0;14.0;304.9491525423729;3.376666667
2022.0;1.0;6.0;15.0;292.0169491525424;2.853333333
2022.0;1.0;6.0;16.0;330.91525423728814;2.951666667
2022.0;1.0;6.0;17.0;274.3220338983051;2.096666667
2022.0;1.0;6.0;18.0;237.5593220338983;1.36
2022.0;1.0;6.0;19.0;228.96610169491527;0.985
2022.0;1.0;6.0;20.0;255.38983050847457;0.86
2022.0;1.0;6.0;21.0;225.27118644067798;0.713333333
2022.0;1.0;6.0;22.0;250.35593220338984;0.68
2022.0;1.0;6.0;23.0;228.98305084745763;0.793333333
2022.0;1.0;7.0;0.0;256.1525423728813;1.2
2022.0;1.0;7.0;1.0;245.32203389830508;1.335
2022.0;1.0;7.0;2.0;244.33898305084745;1.738333333
2022.0;1.0;7.0;3.0;245.4915254237288;1.956666667
2022.0;1.0;7.0;4.0;258.23728813559325;1.988333333
2022.0;1.0;7.0;5.0;243.77966101694915;1.873333333
2022.0;1.0;7.0;6.0;264.1694915254237;1.066666667
2022.0;1.0;7.0;7.0;267.1694915254237;1.176666667
2022.0;1.0;7.0;8.0;338.3220338983051;1.32
2022.0;1.0;7.0;9.0;352.1864406779661;1.021666667
2022.0;1.0;7.0;10.0;359.135593220339;1.265
2022.0;1.0;7.0;11.0;325.52542372881356;1.92
2022.0;1.0;7.0;12.0;320.2542372881356;2.735
2022.0;1.0;7.0;13.0;314.1525423728813;3.143333333
2022.0;1.0;7.0;14.0;325.79661016949154;3.1
2022.0;1.0;7.0;15.0;338.3050847457627;1.946666667
2022.0;1.0;7.0;16.0;313.5593220338983;2.306666667
2022.0;1.0;7.0;17.0;280.0169491525424;2.438333333
2022.0;1.0;7.0;18.0;236.42372881355934;1.905
2022.0;1.0;7.0;19.0;227.89830508474577;1.305
2022.0;1.0;7.0;20.0;244.45762711864407;1.355
2022.0;1.0;7.0;21.0;234.03389830508473;1.888333333
2022.0;1.0;7.0;22.0;236.5084745762712;2.163333333
2022.0;1.0;7.0;23.0;247.74576271186442;1.413333333
2022.0;1.0;8.0;0.0;238.61016949152543;0.405
2022.0;1.0;8.0;1.0;243.25423728813558;0.363333333
2022.0;1.0;8.0;2.0;232.5084745762712;0.57
2022.0;1.0;8.0;3.0;247.05084745762713;0.851666667
2022.0;1.0;8.0;4.0;234.20338983050848;1.04
2022.0;1.0;8.0;5.0;249.15254237288136;0.448333333
2022.0;1.0;8.0;6.0;231.864406779661;0.55
2022.0;1.0;8.0;7.0;256.22033898305085;0.658333333
2022.0;1.0;8.0;8.0;234.6271186440678;0.706666667
2022.0;1.0;8.0;9.0;247.5593220338983;0.628333333
2022.0;1.0;8.0;10.0;238.52542372881356;0.64
2022.0;1.0;8.0;11.0;249.33898305084745;0.895
2022.0;1.0;8.0;12.0;236.83050847457628;1.205
2022.0;1.0;8.0;13.0;246.67796610169492;1.555
2022.0;1.0;8.0;14.0;237.72881355932202;1.651666667
2022.0;1.0;8.0;15.0;241.3050847457627;2.065
2022.0;1.0;8.0;16.0;233.84745762711864;2.478333333
2022.0;1.0;8.0;17.0;234.91525423728814;2.883333333
2022.0;1.0;8.0;18.0;244.74576271186442;3.075
2022.0;1.0;8.0;19.0;219.61016949152543;3.375
2022.0;1.0;8.0;20.0;247.864406779661;3.553333333
2022.0;1.0;8.0;21.0;226.98305084745763;3.935
2022.0;1.0;8.0;22.0;229.10169491525423;4.148333333
2022.0;1.0;8.0;23.0;211.32203389830508;4.471666667
2022.0;1.0;9.0;0.0;221.38983050847457;4.858333333
2022.0;1.0;9.0;1.0;232.0677966101695;5.261666667
2022.0;1.0;9.0;2.0;217.74576271186442;3.993333333
2022.0;1.0;9.0;3.0;229.01694915254237;3.505
2022.0;1.0;9.0;4.0;210.01694915254237;3.933333333
2022.0;1.0;9.0;5.0;229.33898305084745;3.926666667
2022.0;1.0;9.0;6.0;230.0677966101695;3.971666667
2022.0;1.0;9.0;7.0;230.76271186440678;3.423333333
2022.0;1.0;9.0;8.0;242.864406779661;2.96
2022.0;1.0;9.0;9.0;231.88135593220338;2.848333333
2022.0;1.0;9.0;10.0;229.22033898305085;3.015
2022.0;1.0;9.0;11.0;223.72881355932202;3.418333333
2022.0;1.0;9.0;12.0;227.40677966101694;3.826666667
2022.0;1.0;9.0;13.0;208.4406779661017;4.43
2022.0;1.0;9.0;14.0;223.10169491525423;4.62
2022.0;1.0;9.0;15.0;215.83050847457628;4.608333333
2022.0;1.0;9.0;16.0;227.38983050847457;3.838333333
2022.0;1.0;9.0;17.0;246.67796610169492;3.083333333
2022.0;1.0;9.0;18.0;220.74576271186442;2.286666667
2022.0;1.0;9.0;19.0;213.54237288135593;2.63
2022.0;1.0;9.0;20.0;234.20338983050848;2.496666667
2022.0;1.0;9.0;21.0;245.32203389830508;1.806666667
2022.0;1.0;9.0;22.0;243.28813559322035;1.198333333
2022.0;1.0;9.0;23.0;245.4915254237288;0.776666667
2022.0;1.0;10.0;0.0;237.96610169491527;0.53
2022.0;1.0;10.0;1.0;241.8135593220339;0.293333333
2022.0;1.0;10.0;2.0;234.76271186440678;0.628333333
2022.0;1.0;10.0;3.0;245.05084745762713;0.75
2022.0;1.0;10.0;4.0;239.71186440677965;0.511666667
2022.0;1.0;10.0;5.0;252.27118644067798;0.326666667
2022.0;1.0;10.0;6.0;246.1864406779661;0.186666667
2022.0;1.0;10.0;7.0;283.3898305084746;-0.101666667
2022.0;1.0;10.0;8.0;357.6779661016949;-1.036666667
2022.0;1.0;10.0;9.0;382.1186440677966;-1.208333333
2022.0;1.0;10.0;10.0;392.6101694915254;-1.01
2022.0;1.0;10.0;11.0;387.6101694915254;-0.911666667
2022.0;1.0;10.0;12.0;387.54237288135596;-0.65
2022.0;1.0;10.0;13.0;367.59322033898303;-0.121666667
2022.0;1.0;10.0;14.0;365.40677966101697;0.451666667
2022.0;1.0;10.0;15.0;350.23728813559325;0.96
2022.0;1.0;10.0;16.0;374.6779661016949;0.888333333
2022.0;1.0;10.0;17.0;300.22033898305085;0.255
2022.0;1.0;10.0;18.0;273.2542372881356;-0.205
2022.0;1.0;10.0;19.0;243.16949152542372;-0.445
2022.0;1.0;10.0;20.0;278.96610169491527;-0.668333333
2022.0;1.0;10.0;21.0;268.5593220338983;-0.89
2022.0;1.0;10.0;22.0;272.3220338983051;-1.265
2022.0;1.0;10.0;23.0;270.4237288135593;-1.523333333
2022.0;1.0;11.0;0.0;271.23728813559325;-1.87
2022.0;1.0;11.0;1.0;280.3220338983051;-1.818333333
2022.0;1.0;11.0;2.0;276.8305084745763;-2.061666667
2022.0;1.0;11.0;3.0;275.54237288135596;-2.08
2022.0;1.0;11.0;4.0;286.79661016949154;-2.165
2022.0;1.0;11.0;5.0;280.59322033898303;-2.098333333
2022.0;1.0;11.0;6.0;283.6101694915254;-1.973333333
2022.0;1.0;11.0;7.0;318.0508474576271;-2.003333333
2022.0;1.0;11.0;8.0;403.03389830508473;-1.611666667
2022.0;1.0;11.0;9.0;421.6779661016949;-1.291666667
2022.0;1.0;11.0;10.0;392.728813559322;-0.175
2022.0;1.0;11.0;11.0;380.9491525423729;0.478333333
2022.0;1.0;11.0;12.0;358.22033898305085;1.153333333
2022.0;1.0;11.0;13.0;322.66101694915255;2.751666667
2022.0;1.0;11.0;14.0;311.2881355932203;3.705
2022.0;1.0;11.0;15.0;334.59322033898303;4.408333333
2022.0;1.0;11.0;16.0;338.728813559322;3.825
2022.0;1.0;11.0;17.0;290.03389830508473;3.406666667
2022.0;1.0;11.0;18.0;267.20338983050846;2.941666667
2022.0;1.0;11.0;19.0;239.83050847457628;2.481666667
