YEAR;MO;DY;HOUR;P;T
2022.0;1.0;1.0;0.0;44.516666666666666;12.0
2022.0;1.0;1.0;1.0;45.741379310344826;12.0
2022.0;1.0;1.0;2.0;45.91525423728814;11.0
2022.0;1.0;1.0;3.0;46.16949152542373;11.0
2022.0;1.0;1.0;4.0;47.440677966101696;11.0
2022.0;1.0;1.0;5.0;51.67796610169491;10.0
2022.0;1.0;1.0;6.0;51.067796610169495;10.0
2022.0;1.0;1.0;7.0;55.50847457627118;10.0
2022.0;1.0;1.0;8.0;57.389830508474574;10.0
2022.0;1.0;1.0;9.0;54.96551724137931;10.0
2022.0;1.0;1.0;10.0;50.983050847457626;11.0
2022.0;1.0;1.0;11.0;47.16949152542373;12.0
2022.0;1.0;1.0;12.0;42.23728813559322;12.0
2022.0;1.0;1.0;13.0;40.30508474576271;12.0
2022.0;1.0;1.0;14.0;39.898305084745765;12.0
2022.0;1.0;1.0;15.0;43.152542372881356;12.0
2022.0;1.0;1.0;16.0;49.6271186440678;11.0
2022.0;1.0;1.0;17.0;51.05172413793103;11.0
2022.0;1.0;1.0;18.0;51.94915254237288;11.0
2022.0;1.0;1.0;19.0;52.983050847457626;11.0
2022.0;1.0;1.0;20.0;55.779661016949156;11.0
2022.0;1.0;1.0;21.0;56.08474576271186;10.0
2022.0;1.0;1.0;22.0;55.30508474576271;10.0
2022.0;1.0;1.0;23.0;54.983050847457626;10.0
2022.0;1.0;2.0;0.0;57.08474576271186;10.0
2022.0;1.0;2.0;1.0;55.36206896551724;11.0
2022.0;1.0;2.0;2.0;55.32203389830509;10.0
2022.0;1.0;2.0;3.0;53.932203389830505;10.0
2022.0;1.0;2.0;4.0;54.559322033898304;10.0
2022.0;1.0;2.0;5.0;54.16949152542373;10.0
2022.0;1.0;2.0;6.0;57.30508474576271;10.0
2022.0;1.0;2.0;7.0;55.79661016949152;11.0
2022.0;1.0;2.0;8.0;54.101694915254235;11.0
2022.0;1.0;2.0;9.0;50.41379310344828;11.0
2022.0;1.0;2.0;10.0;53.30508474576271;11.0
2022.0;1.0;2.0;11.0;49.728813559322035;11.0
2022.0;1.0;2.0;12.0;48.11864406779661;12.0
2022.0;1.0;2.0;13.0;49.440677966101696;12.0
2022.0;1.0;2.0;14.0;50.355932203389834;12.0
2022.0;1.0;2.0;15.0;50.220338983050844;12.0
2022.0;1.0;2.0;16.0;51.41379310344828;11.0
2022.0;1.0;2.0;17.0;54.42372881355932;11.0
2022.0;1.0;2.0;18.0;55.25423728813559;11.0
2022.0;1.0;2.0;19.0;52.30508474576271;11.0
2022.0;1.0;2.0;20.0;57.79661016949152;10.0
2022.0;1.0;2.0;21.0;54.16949152542373;10.0
2022.0;1.0;2.0;22.0;61.83050847457627;10.0
2022.0;1.0;2.0;23.0;62.66101694915254;10.0
2022.0;1.0;3.0;0.0;60.58620689655172;9.0
